LeftIndex	RightIndex	ReadLength	AvgEEPerPosition
0	201	201	0.00025149061996092216
0	202	202	0.0002525037876296975
0	203	203	0.0002531623874528494
0	204	204	0.00025375036528248743
0	205	205	0.00025423418512784474
0	206	206	0.0002548305652595385
0	207	207	0.0002552104236102124
0	208	208	0.0002557104139027437
0	209	209	0.00025643823075382534
0	210	210	0.0002572151459575957
0	211	211	0.0002578992138993802
0	212	212	0.0002585711183819649
0	213	213	0.0002594194375817549
0	214	214	0.00026020494069441537
0	215	215	0.0002609023702344553
0	216	216	0.0002616218888938578
0	217	217	0.00026221001043832254
0	218	218	0.0002625694590937659
0	219	219	0.0002629894548106517
0	220	220	0.000263504569298493
0	221	221	0.00026404365457688965
0	222	222	0.0002646095790213315
0	223	223	0.000265564143484124
0	224	224	0.00026630768410121987
0	225	225	0.000267036397276722
0	226	226	0.0002680833392602811
0	227	227	0.0002690089958297699
0	228	228	0.00026978728486856137
0	229	229	0.00027058571963564724
0	230	230	0.00027125418848098154
0	231	231	0.00027241629881586527
0	232	232	0.00027421981256308536
0	233	233	0.0002766177332765321
1	201	200	0.0002500246242425787
1	202	201	0.00025105012605755866
1	203	202	0.00025171918262029114
1	204	203	0.0002523171662758513
1	205	204	0.0002528103832724439
1	206	205	0.00025341661795041617
1	207	206	0.0002538051840955551
1	208	207	0.00025431437839681676
1	209	208	0.00025505240607653787
1	210	209	0.0002558396693180167
1	211	210	0.0002565335446149505
1	212	211	0.0002572151058452462
1	213	212	0.0002580738228362461
1	214	213	0.000258869331197067
1	215	214	0.00025957626091952467
1	216	215	0.00026030529412764494
1	217	216	0.00026090223380317764
1	218	217	0.00026126936552447626
1	219	218	0.00026169725155918854
1	220	219	0.00026222061863944677
1	221	220	0.0002627679904448318
1	222	221	0.0002633422478692578
1	223	222	0.000264306820870856
1	224	223	0.0002650593339688055
1	225	224	0.0002657968733197894
1	226	225	0.0002668539773741952
1	227	226	0.00026778916942357586
1	228	227	0.00026857626073305014
1	229	228	0.00026938350891637545
1	230	229	0.00027006014666810537
1	231	230	0.000271232501142762
1	232	231	0.00027304894697405274
1	233	232	0.00027546225038707915
2	201	199	0.00024850482888529393
2	202	200	0.0002495430571861352
2	203	201	0.000250222940243565
2	204	202	0.0002508312913547305
2	205	203	0.0002513342575725927
2	206	204	0.0002519506998994758
2	207	205	0.00025234831230898586
2	208	206	0.0002528670506203826
2	209	207	0.0002536156355728388
2	210	208	0.00025441359128424633
2	211	209	0.0002551176098985519
2	212	210	0.00025580915920478425
2	213	211	0.00025667860919877686
2	214	212	0.00025748445115392936
2	215	213	0.0002582012015795119
2	216	214	0.00025894006699580103
2	217	215	0.0002595461330285773
2	218	216	0.0002599212426780977
2	219	217	0.0002603573130855339
2	220	218	0.0002608892274389752
2	221	219	0.000261445178070871
2	222	220	0.0002620280585398351
2	223	221	0.00026300294268320263
2	224	222	0.0002637647188049612
2	225	223	0.00026451137095646004
2	226	224	0.00026557893307523067
2	227	225	0.00026652394839727067
2	228	226	0.0002673201207347793
2	229	227	0.0002681364587338826
2	230	228	0.0002688215337133942
2	231	229	0.0002700044164301005
2	232	230	0.00027183409935071276
2	233	231	0.0002742631090452819
3	201	198	0.0002470313628254831
3	202	199	0.00024808221270602613
3	203	200	0.0002487727994011436
3	204	201	0.0002493913917658096
3	205	202	0.00024990397613123004
3	206	203	0.000250530500841208
3	207	204	0.00025093702409124637
3	208	205	0.00025146517716619993
3	209	206	0.00025222420123713487
3	210	207	0.0002530327337120551
3	211	208	0.00025374677576956497
3	212	209	0.0002544481929391237
3	213	210	0.0002553282639629242
3	214	211	0.0002561443248147165
3	215	212	0.0002568707774891896
3	216	213	0.0002576193578796882
3	217	214	0.0002582344275346555
3	218	215	0.0002586173828360059
3	219	216	0.0002590615084760788
3	220	217	0.0002596018454975519
3	221	218	0.0002601662517834537
3	222	219	0.0002607576336531319
3	223	220	0.0002617427237466361
3	224	221	0.0002625136491673011
3	225	222	0.00026326930006559797
3	226	223	0.00026434721928306654
3	227	224	0.0002653019521457949
3	228	225	0.00026610709412147685
3	229	226	0.00026693241161001555
3	230	227	0.0002676258087133306
3	231	228	0.0002688191239200227
3	232	229	0.00027066197267221003
3	233	230	0.0002731066394814447
4	201	197	0.00024534656257270215
4	202	198	0.00024641122886805996
4	203	199	0.0002471136827517859
4	204	200	0.00024774366366152204
4	205	201	0.00024826699585017486
4	206	202	0.0002489047260304055
4	207	203	0.00024932126060094056
4	208	204	0.0002498599230708218
4	209	205	0.00025063048020598273
4	210	206	0.0002514506741056897
4	211	207	0.00025217580844176903
4	212	208	0.0002528881505367958
4	213	209	0.00025377989674445336
4	214	210	0.0002546072167775326
4	215	211	0.00025534439722789035
4	216	212	0.0002561037085648597
4	217	213	0.0002567287815952721
4	218	214	0.00025712056213606513
4	219	215	0.0002575737154335334
4	220	216	0.00025812344194604364
4	221	217	0.000258697262102164
4	222	218	0.0002592980952174888
4	223	219	0.0002602943479983407
4	224	220	0.0002610753611515919
4	225	221	0.0002618409393752915
4	226	222	0.0002629301481418942
4	227	223	0.0002638955168970167
4	228	224	0.0002647105319853079
4	229	225	0.00026554572449440084
4	230	226	0.000266248325510189
4	231	227	0.0002674529658200081
4	232	228	0.0002693098891636525
4	233	229	0.000271771135668598
5	201	196	0.00024337614740655385
5	202	197	0.0002444562202067924
5	203	198	0.0002451720956185234
5	204	199	0.00024581499898073685
5	205	200	0.00024635059115373685
5	206	201	0.0002470010284726574
5	207	202	0.00024742904934085727
5	208	203	0.00024797968655817674
5	209	204	0.00024876323777984653
5	210	205	0.00024959654112504537
5	211	206	0.00025033419617625445
5	212	207	0.000251058876215052
5	213	208	0.0002519637042521778
5	214	209	0.00025280367267054585
5	215	210	0.0002535529518092719
5	216	211	0.00025432435204081745
5	217	212	0.00025496076672007164
5	218	213	0.0002553626871454468
5	219	214	0.00025582617235080335
5	220	215	0.0002563865838381752
5	221	216	0.00025697110157885095
5	222	217	0.00025758265816716494
5	223	218	0.00025859134989219656
5	224	219	0.00025938370556261394
5	225	220	0.0002601604530309166
5	226	221	0.0002612621943545825
5	227	222	0.0002622394249229593
5	228	223	0.0002630655212088394
5	229	224	0.00026391178605402865
5	230	225	0.000264624771689622
5	231	226	0.0002658419261327614
5	232	227	0.0002677141268465859
5	233	228	0.00027019316724987357
6	201	195	0.0002426054706120934
6	202	196	0.0002436949860123049
6	203	197	0.00024441835944234155
6	204	198	0.0002450683165395974
6	205	199	0.0002456103523036233
6	206	200	0.00024626774300338895
6	207	201	0.0002467015415150588
6	208	202	0.00024725850618308686
6	209	203	0.0002480494698756766
6	210	204	0.0002488903569034704
6	211	205	0.0002496350550730833
6	212	206	0.00025036664686499714
6	213	207	0.0002512791901552012
6	214	208	0.0002521264878164315
6	215	209	0.0002528825921417261
6	216	210	0.00025366085789660066
6	217	211	0.0002543034332811794
6	218	212	0.00025471035018704636
6	219	213	0.0002551790739941107
6	220	214	0.0002557451280508473
6	221	215	0.0002563353479939789
6	222	216	0.000256952679166428
6	223	217	0.00025796892236945856
6	224	218	0.0002587677678710372
6	225	219	0.00025955087463230733
6	226	220	0.0002606603946819836
6	227	221	0.00026164477018357745
6	228	222	0.00026247726624885066
6	229	223	0.00026332996391827834
6	230	224	0.00026404872994570806
6	231	225	0.00026527385414967884
6	232	226	0.0002671568525303038
6	233	227	0.0002696492687693605
7	201	194	0.00024197753371505633
7	202	195	0.00024307585656294605
7	203	196	0.0002438060794974694
7	204	197	0.00024446244388935537
7	205	198	0.000245010277170625
7	206	199	0.0002456739867941734
7	207	200	0.0002461129230794477
7	208	201	0.0002466755871659018
7	209	202	0.0002474733522580449
7	210	203	0.00024832121960428904
7	211	204	0.000249072358143847
7	212	205	0.00024981026353927867
7	213	206	0.0002507299375412105
7	214	207	0.0002515839818221278
7	215	208	0.0002523463294662667
7	216	209	0.0002531308848308558
7	217	210	0.0002537790437794836
7	218	211	0.00025419037445979407
7	219	212	0.00025466376194390703
7	220	213	0.00025523489283682646
7	221	214	0.0002558302550937766
7	222	215	0.0002564528068433077
7	223	216	0.0002574760690997001
7	224	217	0.0002582808671301789
7	225	218	0.0002590697996139359
7	226	219	0.00026018658265479044
7	227	220	0.00026117758628151517
7	228	221	0.00026201596325161795
7	229	222	0.00026287457984296755
7	230	223	0.0002635986111174947
7	231	224	0.00026483121408500204
7	232	225	0.000266724548636495
7	233	226	0.00026922990611507767
8	201	193	0.0002405958790384087
8	202	194	0.00024170698527560015
8	203	195	0.0002424479727958767
8	204	196	0.0002431146151015049
8	205	197	0.00024367207103287157
8	206	198	0.00024434589134208313
8	207	199	0.0002447937071838266
8	208	200	0.00024536578067019103
8	209	201	0.0002461740311931195
8	210	202	0.0002470325281849635
8	211	203	0.0002477937151479643
8	212	204	0.0002485415055845298
8	213	205	0.0002494718548642991
8	214	206	0.000250336152188701
8	215	207	0.0002511082108341808
8	216	208	0.00025190249059298467
8	217	209	0.0002525596282649929
8	218	210	0.00025297872440337377
8	219	211	0.0002534600978473945
8	220	212	0.0002540396004147924
8	221	213	0.0002546433695012213
8	222	214	0.00025527437656543513
8	223	215	0.0002563078792522194
8	224	216	0.00025712181148583693
8	225	217	0.00025791972087341
8	226	218	0.00025904690236280305
8	227	219	0.0002600476351398415
8	228	220	0.0002608949590559069
8	229	221	0.00026176253320737893
8	230	222	0.0002624948351031229
8	231	223	0.00026373791510642336
8	232	224	0.0002656445828433184
8	233	225	0.0002681658750919978
9	201	192	0.00023977283078009779
9	202	193	0.00024089395854317268
9	203	194	0.0002416429564461951
9	204	195	0.00024231714571928644
9	205	196	0.0002428815145349061
9	206	197	0.00024356276822892566
9	207	198	0.00024401680093407772
9	208	199	0.00024459565321308596
9	209	200	0.00024541179562591456
9	210	201	0.0002462783559638235
9	211	202	0.00024704704470496355
9	212	203	0.00024780219701778315
9	213	204	0.00024874073089483923
9	214	205	0.0002496128107621381
9	215	206	0.00025039212863126856
9	216	207	0.00025119370482467007
9	217	208	0.0002518574094362952
9	218	209	0.00025228187071805926
9	219	210	0.0002527688547674578
9	220	211	0.0002533543798260753
9	221	212	0.00025396422905248127
9	222	213	0.00025460138704398597
9	223	214	0.00025564286399342557
9	224	215	0.0002564636750525892
9	225	216	0.00025726832539303647
9	226	217	0.0002584037030896634
9	227	218	0.0002594119768394091
9	228	219	0.000260266072363769
9	229	220	0.0002611404486099847
9	230	221	0.00026187887895139897
9	231	222	0.0002631303329914338
9	232	223	0.0002650482753913418
9	233	224	0.0002675834854958277
10	201	191	0.00023911500116815043
10	202	192	0.00024024539433422024
10	203	193	0.00024100163349170887
10	204	194	0.000241682603755664
10	205	195	0.00024225312083169003
10	206	196	0.0002429410564001853
10	207	197	0.00024340054973748907
10	208	198	0.0002439854378926367
10	209	199	0.00024480874793226566
10	210	200	0.0002456826563103324
10	211	201	0.0002464581330534358
10	212	202	0.0002472199391482571
10	213	203	0.00024816596461027177
10	214	204	0.00024904513686066797
10	215	205	0.00024983102542136234
10	216	206	0.0002506392165633236
10	217	207	0.00025130880616467327
10	218	208	0.00025173794564140555
10	219	209	0.00025222986227035454
10	220	210	0.0002528207421744754
10	221	211	0.0002534360107699715
10	222	212	0.0002540786658193725
10	223	213	0.0002551274864222114
10	224	214	0.0002559545413534796
10	225	215	0.00025676530231736667
10	226	216	0.00025790826520275423
10	227	217	0.0002589234684992126
10	228	218	0.0002597837227568962
10	229	219	0.0002606642940983315
10	230	220	0.00026140824527998694
10	231	221	0.0002626674915721098
10	232	222	0.0002645961582234558
10	233	223	0.00026714476441436484
11	201	190	0.00023804250540661187
11	202	191	0.00023918443202256446
11	203	192	0.00023995013577103822
11	204	193	0.00024064008255304838
11	205	194	0.0002412189142593767
11	206	195	0.00024191568132602995
11	207	196	0.0002423827505225759
11	208	197	0.00024297577414660705
11	209	198	0.00024380834162959796
11	210	199	0.00024469166867440204
11	211	200	0.0002454759777394006
11	212	201	0.0002462464602591416
11	213	202	0.000247201988217944
11	214	203	0.0002480902400183044
11	215	204	0.0002488846618407784
11	216	205	0.00024970141178626433
11	217	206	0.0002503788042729461
11	218	207	0.00025081450965000907
11	219	208	0.00025131323085886357
11	220	209	0.00025191132373578645
11	221	210	0.000252533852745731
11	222	211	0.0002531838291841066
11	223	212	0.0002542418179814649
11	224	213	0.00025507691386753126
11	225	214	0.00025589556449707177
11	226	215	0.00025704788878109044
11	227	216	0.00025807177531698457
